genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
PQ249164.1	F.2.NmC1	F.2.NmC1 + B.1.NmC9 + F.2.NmC1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_12_F.2.NmC1_PQ249164.1
PQ249165.1	F.2.NmC1	F.2.NmC1 + B.1.NmC9 + F.2.NmC1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_12_F.2.NmC1_PQ249165.1
ON694336.1	B.1.NmC3	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_ON694336.1
OP689678.1	B.1.NmC3	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP689678.1
OP689680.1	B.1.NmC3	B.1.NmC3 + B.1.NmC10	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP689680.1
OP715816.1	B.1.NmC3	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP715816.1
OP764619.1	B.1.NmC3	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP764619.1
OP764623.1	B.1.NmC3	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP764623.1
OP837334.1	B.1.NmC3	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP837334.1
OP837349.1	B.1.NmC3	B.1.NmC3 + B.1.14	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP837349.1
OP018590.1	B.1.NmC3	B.1.NmC3 + B.1.14	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP018590.1
OP215221.1	B.1.NmC3	B.1.NmC3 + B.1.14	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP215221.1
OP536753.1	B.1.NmC3	B.1.NmC9 + B.1.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP536753.1
OP764629.1	B.1.NmC3	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_19_B.1.NmC3_OP764629.1
OP819951.1	B.1.16	B.1.2.NmC3 + B.1.16	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_21_B.1.16_OP819951.1
OP580155.1	A.1.NmC3	B.1.2 + A.1.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OP580155.1
OP605565.1	A.1.NmC3	B.1.2.NmC6 + A.1.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OP605565.1
OP615275.1	A.1.NmC3	B.1.NmC10 + B.1.17	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OP615275.1
OP440553.1	A.1.NmC3	A.1.NmC3 + B.1.2.NmC4	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OP440553.1
OP215261.1	A.1.NmC3	B.1.NmC3 + A.1.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OP215261.1
OQ644779.1	A.1.NmC3	B.1 + B.1.2.NmC4	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OQ644779.1
OQ503800.1	A.1.NmC3	B.1.17.NmC1 + A.1.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OQ503800.1
OR499952.1	A.1.NmC3	A.1.NmC3 + F.5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OR499952.1
OR499954.1	A.1.NmC3	A.1.NmC3 + F.5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OR499954.1
OR499957.1	A.1.NmC3	A.1.NmC3 + F.5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OR499957.1
OR473622.1	A.1.NmC3	A.1.NmC3 + F.3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OR473622.1
OR643700.1	A.1.NmC3	A.1.NmC3 + B.1.21	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_OR643700.1
PQ160015.1	A.1.NmC3	B.1.NmC10 + B.1.21	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_PQ160015.1
PQ160017.1	A.1.NmC3	B.1.NmC10 + B.1.20.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_PQ160017.1
PP338788.1	A.1.NmC3	A.1.NmC3 + F.2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_PP338788.1
PP338786.1	A.1.NmC3	A.1.NmC3 + F.5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_PP338786.1
PQ583327.1	A.1.NmC3	B.1.17.NmC2 + F.4	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_22_A.1.NmC3_PQ583327.1
OP225965.1	B.1.13.NmC1	B.1.7.NmC1 + B.1.13.NmC1 + B.1.7.NmC1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP225965.1
OP225967.1	B.1.13.NmC1	B.1.7.NmC1 + B.1.13.NmC1 + B.1.7.NmC1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP225967.1
OP205072.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP205072.1
OP205080.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP205080.1
OP205087.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP205087.1
OP205089.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP205089.1
OP205112.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP205112.1
OR264413.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OR264413.1
OR264414.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OR264414.1
OR264415.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OR264415.1
OR264416.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OR264416.1
OP205127.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP205127.1
OP415203.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP415203.1
OP415208.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP415208.1
OP415209.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP415209.1
PV984954.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_PV984954.1
OP392547.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP392547.1
OP415250.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP415250.1
OP415254.1	B.1.13.NmC1	B.1.8 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP415254.1
OP628461.1	B.1.13.NmC1	B.1.1.NmC1 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP628461.1
OP650027.1	B.1.13.NmC1	C.1.NmC2 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP650027.1
OQ503757.1	B.1.13.NmC1	C.1.NmC2 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OQ503757.1
PV984893.1	B.1.13.NmC1	B.1.3.NmC1 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_PV984893.1
OP693654.1	B.1.13.NmC1	B.1.13.NmC1 + B.1.15	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP693654.1
OP681773.1	B.1.13.NmC1	B.1.8 + C.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP681773.1
OP681774.1	B.1.13.NmC1	B.1.8 + C.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OP681774.1
PP002089.1	B.1.13.NmC1	B.1.22 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_PP002089.1
OR876394.1	B.1.13.NmC1	B.1.20 + F.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_OR876394.1
PP155392.1	B.1.13.NmC1	B.1.20.NmC1 + F.3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_PP155392.1
PP754993.1	B.1.13.NmC1	B.1.23 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_23_B.1.13.NmC1_PP754993.1
OP415194.1	B.1.13	B.1.2.NmC6 + C.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP415194.1
ON880533.1	B.1.13	B.1.NmC7 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_ON880533.1
OP225969.1	B.1.13	B.1.2.NmC2 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP225969.1
OP378702.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP378702.1
OP205082.1	B.1.13	B.1.13 + B.1.13.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP205082.1
OP279039.1	B.1.13	B.1.13.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP279039.1
OP279041.1	B.1.13	B.1.4 + B.1.13.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP279041.1
OR264398.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OR264398.1
OP415191.1	B.1.13	B.1.2.NmC6 + C.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP415191.1
PV984943.1	B.1.13	C.1.NmC1 + B.1.3.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_PV984943.1
OP279044.1	B.1.13	B.1.4 + B.1.13.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP279044.1
OP205140.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP205140.1
OP279037.1	B.1.13	B.1.4 + B.1.2.NmC5 + B.1.4	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP279037.1
OP279047.1	B.1.13	B.1.4 + B.1.13.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP279047.1
OP270029.1	B.1.13	B.1.4 + B.1.NmC7	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP270029.1
OR004144.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OR004144.1
OP310065.1	B.1.13	B.1.3.NmC2 + B.1.NmC10 + B.1.3.NmC2	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP310065.1
OP628462.1	B.1.13	B.1.13.NmC1 + B.1.13	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP628462.1
OP687942.1	B.1.13	B.1.13.NmC1 + B.1.8.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP687942.1
OP894040.1	B.1.13	B.1.NmC4 + B.1.8.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP894040.1
OQ468862.1	B.1.13	B.1.7 + B.1.13.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ468862.1
OQ468865.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ468865.1
OQ469058.1	B.1.13	B.1.7 + B.1.8.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ469058.1
OQ469075.1	B.1.13	B.1.7 + B.1.13.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ469075.1
OQ469079.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ469079.1
OQ469180.1	B.1.13	B.1.7 + B.1.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ469180.1
OQ504419.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ504419.1
PV984942.1	B.1.13	C.1.NmC2 + B.1.13	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_PV984942.1
OP480407.1	B.1.13	B.1.4 + B.1.13	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP480407.1
OR264397.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OR264397.1
OP477448.1	B.1.13	B.1.3 + B.1.10	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP477448.1
OQ626768.1	B.1.13	B.1.2.NmC6 + B.1.11.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ626768.1
OP881944.1	B.1.13	B.1.7 + B.1.13	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP881944.1
OQ054226.1	B.1.13	B.1.13.NmC1 + B.1.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ054226.1
OQ320452.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ320452.1
OP642410.1	B.1.13	B.1.13.NmC1 + B.1.6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP642410.1
OP642404.1	B.1.13	B.1.13.NmC1 + B.1.6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP642404.1
OP642409.1	B.1.13	B.1.13.NmC1 + B.1.10	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OP642409.1
OQ427118.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_OQ427118.1
PV984939.1	B.1.13	B.1.13 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_PV984939.1
PP002092.1	B.1.13	B.1.13 + B.1.22 + B.1.13	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_24_B.1.13_PP002092.1
OR449661.1	B.1.NmC6	B.1.NmC6 + B.1.2.NmC3 + B.1.NmC6	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_25_B.1.NmC6_OR449661.1
OR449674.1	B.1.NmC6	B.1.NmC6 + C.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_25_B.1.NmC6_OR449674.1
OR449697.1	B.1.NmC6	B.1.NmC5 + B.1.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_25_B.1.NmC6_OR449697.1
OR449698.1	B.1.NmC6	B.1.NmC6 + B.1.8.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_25_B.1.NmC6_OR449698.1
OR449730.1	B.1.NmC6	B.1.NmC6 + B.1.2.NmC3 + B.1.NmC6	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_25_B.1.NmC6_OR449730.1
OP890372.1	B.1.17.NmC1	B.1.8 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890372.1
OP890374.1	B.1.17.NmC1	B.1.2.NmC6 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890374.1
OP890375.1	B.1.17.NmC1	B.1.2.NmC6 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890375.1
OP890378.1	B.1.17.NmC1	B.1.NmC7 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890378.1
OP890413.1	B.1.17.NmC1	B.1.1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890413.1
OP890418.1	B.1.17.NmC1	B.1.17.NmC6 + B.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890418.1
OP890437.1	B.1.17.NmC1	B.1.2.NmC6 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890437.1
OP890439.1	B.1.17.NmC1	B.1.2.NmC6 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890439.1
OP890441.1	B.1.17.NmC1	B.1.8 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890441.1
OP890459.1	B.1.17.NmC1	B.1.7.NmC1 + B.1.17.NmC1 + B.1.7.NmC1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890459.1
OP890484.1	B.1.17.NmC1	B.1.7.NmC1 + B.1.17.NmC6 + B.1.7.NmC1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890484.1
OP890500.1	B.1.17.NmC1	B.1.11 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP890500.1
OP928181.1	B.1.17.NmC1	B.1.17.NmC1 + B.1.18 + B.1.17.NmC1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP928181.1
OP928185.1	B.1.17.NmC1	B.1.2.NmC6 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP928185.1
ON585032.1	B.1.17.NmC1	B.1.17.NmC3 + A.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_ON585032.1
OR035683.1	B.1.17.NmC1	B.1.2.NmC2 + B.1.21	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OR035683.1
OP414310.1	B.1.17.NmC1	B.1.7 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP414310.1
OP580589.1	B.1.17.NmC1	B.1.17.NmC4 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP580589.1
OP324503.1	B.1.17.NmC1	B.1.7 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP324503.1
OP597778.1	B.1.17.NmC1	B.1.NmC4 + B.1.7	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP597778.1
OP879743.1	B.1.17.NmC1	B.1.2.NmC6 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP879743.1
OR035684.1	B.1.17.NmC1	B.1.2.NmC2 + B.1.21	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OR035684.1
OP324494.1	B.1.17.NmC1	B.1.7 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP324494.1
OP879764.1	B.1.17.NmC1	B.1.NmC4 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP879764.1
OP324480.1	B.1.17.NmC1	B.1.17.NmC1 + B.1.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP324480.1
OP324458.1	B.1.17.NmC1	B.1.7 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP324458.1
OP587251.1	B.1.17.NmC1	B.1.2.NmC3 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP587251.1
OP680494.1	B.1.17.NmC1	B.1.NmC4 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP680494.1
OP680488.1	B.1.17.NmC1	B.1.17.NmC1 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP680488.1
OP722495.1	B.1.17.NmC1	B.1.2.NmC2 + B.1.8 + B.1.2.NmC2	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP722495.1
OP680499.1	B.1.17.NmC1	B.1.2.NmC2 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP680499.1
OP680510.1	B.1.17.NmC1	B.1.2.NmC2 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP680510.1
OP440568.1	B.1.17.NmC1	B.1.2.NmC2 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP440568.1
OP722504.1	B.1.17.NmC1	B.1.2.NmC2 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP722504.1
OP748955.1	B.1.17.NmC1	B.1.1 + B.1.17.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP748955.1
OP879754.1	B.1.17.NmC1	B.1.3.NmC1 + B.1.13.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_26_B.1.17.NmC1_OP879754.1
