genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
PV846245.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846245.1
PV846253.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846253.1
PV846261.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846261.1
PX061532.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061532.1
PX061540.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061540.1
PX061548.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061548.1
PV792277.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV792277.1
PV846269.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846269.1
PV846277.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846277.1
PV846285.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846285.1
PV846293.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846293.1
PV846301.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846301.1
PV846309.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846309.1
PV846317.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846317.1
PV846333.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846333.1
PV846357.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846357.1
PV846365.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846365.1
PV846373.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846373.1
PV846381.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846381.1
PX061556.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061556.1
PV904413.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV904413.1
PQ708769.1	A.1.NmC12	A.1.NmC12 + A.1.NmC5 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ708769.1
PQ708777.1	A.1.NmC12	A.1.NmC12 + A.1.NmC5 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ708777.1
PQ718001.1	A.1.NmC12	A.1.NmC12 + A.1.NmC7 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ718001.1
PQ709169.1	A.1.NmC12	A.1.NmC12 + A.1.NmC7 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ709169.1
PQ707585.1	A.1.NmC12	A.1.NmC12 + A.1 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ707585.1
PQ717025.1	A.1.NmC12	A.1.NmC12 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ717025.1
PV305176.1	A.1.NmC12	A.1.NmC12 + A.1 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV305176.1
PQ712401.1	A.1.NmC12	A.1.NmC12 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ712401.1
PQ705929.1	A.1.NmC12	A.1.NmC1 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ705929.1
PQ712217.1	A.1.NmC12	A.1.NmC12 + A.1 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ712217.1
PQ716969.1	A.1.NmC12	A.1.NmC3 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ716969.1
PP761982.1	A.1.NmC12	A.1.NmC1 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PP761982.1
PV324440.1	A.1.NmC12	A.1.NmC12 + A.1.NmC6 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV324440.1
PV324448.1	A.1.NmC12	A.1.NmC12 + A.1.NmC9 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV324448.1
PV324456.1	A.1.NmC12	A.1.NmC12 + A.1.NmC6 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV324456.1
PV305672.1	A.1.NmC12	A.1.NmC4 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV305672.1
PV305264.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV305264.1
PV305272.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV305272.1
PV319520.1	A.1.NmC12	A.1.NmC12 + A.1.NmC4	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV319520.1
PV307768.1	A.1.NmC12	A.1.NmC12 + A.1.NmC10 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV307768.1
PV324504.1	A.1.NmC12	A.1.NmC1 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV324504.1
PV309144.1	A.1.NmC12	A.1.NmC2 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV309144.1
PV309152.1	A.1.NmC12	A.1.NmC2 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV309152.1
PV317480.1	A.1.NmC12	A.1.NmC12 + A.1.NmC4	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV317480.1
PV323288.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV323288.1
PV323296.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV323296.1
PV303264.1	A.1.NmC12	A.1.NmC12 + A.1	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV303264.1
PV322048.1	A.1.NmC12	A.1.NmC12 + A.1 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV322048.1
PP748183.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PP748183.1
PQ827605.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ827605.1
PP755565.1	A.1.NmC12	A.1.NmC4 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PP755565.1
PP755573.1	A.1.NmC12	A.1.NmC4 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PP755573.1
PQ828053.1	A.1.NmC12	A.1.NmC4 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ828053.1
PQ828061.1	A.1.NmC12	A.1.NmC4 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ828061.1
PV318904.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV318904.1
PV303656.1	A.1.NmC12	A.1.NmC12 + A.1.NmC8	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV303656.1
PQ687415.1	A.1.NmC12	A.1.NmC12 + A.1.NmC5 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ687415.1
PQ687047.1	A.1.NmC12	A.1.NmC12 + A.1.NmC5 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ687047.1
PQ687087.1	A.1.NmC12	A.1.NmC12 + A.1.NmC5 + A.1.NmC12	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PQ687087.1
PV312136.1	A.1.NmC12	A.1.NmC12 + A.1.NmC14	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV312136.1
PV336660.1	A.1.NmC12	A.1.NmC12 + A.1.NmC10	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV336660.1
PV847517.1	A.1.NmC12	A.1.NmC12 + A.1.NmC10	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_3_A.1.NmC12_PV847517.1
PQ708929.1	A.1.NmC7	A.1.NmC7 + A.1.NmC2	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ708929.1
PQ710505.1	A.1.NmC7	A.1.NmC7 + A.1.NmC4	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ710505.1
PQ712393.1	A.1.NmC7	A.1.NmC7 + A.1.NmC6 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ712393.1
PQ715537.1	A.1.NmC7	A.1.NmC7 + A.1.NmC9 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ715537.1
PQ712073.1	A.1.NmC7	A.1.NmC4 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ712073.1
PP802862.1	A.1.NmC7	A.1.NmC7 + A.1	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PP802862.1
PQ715089.1	A.1.NmC7	A.1.NmC7 + A.1.NmC6 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ715089.1
PQ709665.1	A.1.NmC7	A.1.NmC7 + A.1.NmC12 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ709665.1
PQ715249.1	A.1.NmC7	A.1.NmC7 + A.1.NmC6 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ715249.1
PQ714737.1	A.1.NmC7	A.1.NmC7 + A.1.NmC5 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ714737.1
PQ702289.1	A.1.NmC7	A.1.NmC13 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ702289.1
PV314336.1	A.1.NmC7	A.1.NmC7 + A.1.NmC13 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PV314336.1
PV315576.1	A.1.NmC7	A.1.NmC7 + A.1	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PV315576.1
PQ709209.1	A.1.NmC7	A.1.NmC7 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ709209.1
PQ708697.1	A.1.NmC7	A.1.NmC7 + A.1.NmC2	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ708697.1
PQ709697.1	A.1.NmC7	A.1.NmC7 + A.1.NmC12 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ709697.1
PQ710369.1	A.1.NmC7	A.1.NmC4 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ710369.1
PQ710385.1	A.1.NmC7	A.1.NmC7 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ710385.1
PQ714777.1	A.1.NmC7	A.1.NmC4 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ714777.1
PQ710417.1	A.1.NmC7	A.1.NmC7 + A.1.NmC4	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ710417.1
PQ711889.1	A.1.NmC7	A.1.NmC7 + A.1	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ711889.1
PQ718761.1	A.1.NmC7	A.1.NmC7 + A.1.NmC8 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ718761.1
PP761738.1	A.1.NmC7	A.1.NmC7 + A.1.NmC14 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PP761738.1
PQ717097.1	A.1.NmC7	A.1.NmC9 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ717097.1
PV317664.1	A.1.NmC7	A.1.NmC7 + A.1	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PV317664.1
PQ703625.1	A.1.NmC7	A.1.NmC7 + A.1.NmC1	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ703625.1
PQ710913.1	A.1.NmC7	A.1.NmC8 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ710913.1
PQ717633.1	A.1.NmC7	A.1.NmC7 + A.1.NmC4 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ717633.1
PQ717353.1	A.1.NmC7	A.1.NmC7 + A.1.NmC4	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ717353.1
PQ717945.1	A.1.NmC7	A.1.NmC7 + A.1.NmC8 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ717945.1
PQ714705.1	A.1.NmC7	A.1.NmC7 + A.1.NmC1 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ714705.1
PQ717361.1	A.1.NmC7	A.1.NmC7 + A.1.NmC4	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ717361.1
PQ717401.1	A.1.NmC7	A.1.NmC7 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ717401.1
PQ709929.1	A.1.NmC7	A.1.NmC7 + A.1.NmC14	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ709929.1
PQ709681.1	A.1.NmC7	A.1.NmC4 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ709681.1
PQ707073.1	A.1.NmC7	A.1.NmC7 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ707073.1
PQ705641.1	A.1.NmC7	A.1.NmC7 + A.1.NmC6 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ705641.1
PV323840.1	A.1.NmC7	A.1.NmC7 + A.1.NmC5 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PV323840.1
PV323848.1	A.1.NmC7	A.1.NmC7 + A.1.NmC5 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PV323848.1
PQ712289.1	A.1.NmC7	A.1.NmC7 + A.1.NmC6 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ712289.1
PQ714225.1	A.1.NmC7	A.1.NmC7 + A.1	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ714225.1
PQ717497.1	A.1.NmC7	A.1.NmC7 + A.1.NmC6 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ717497.1
PQ707569.1	A.1.NmC7	A.1.NmC4 + A.1.NmC7	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ707569.1
PV305112.1	A.1.NmC7	A.1.NmC7 + A.1.NmC6 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PV305112.1
PQ716361.1	A.1.NmC7	A.1.NmC7 + A.1.NmC14 + A.1.NmC7	2BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ716361.1
PQ709601.1	A.1.NmC7	A.1.NmC7 + A.1.NmC12	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_4_A.1.NmC7_PQ709601.1
